Product,Category,Region,Sales,Quantity,Profit Margin,Cost,Discount,Date,Customer Segment,Salesperson,Rating,Returns,Shipping Days,Payment Method,Channel
Laptop Pro,Electronics,North,1500,15,0.25,1125,0.05,2025-01-15,Enterprise,John Smith,4.5,1,3,Credit Card,Online
Laptop Basic,Electronics,North,950,22,0.22,741,0.10,2025-01-18,Consumer,John Smith,4.2,2,4,PayPal,Online
Phone X,Electronics,North,800,40,0.20,640,0.08,2025-02-10,Consumer,Sarah Lee,4.7,3,2,Credit Card,Retail
Phone Y,Electronics,South,650,35,0.18,533,0.12,2025-02-14,Small Business,Mike Chen,4.3,2,3,Debit Card,Online
Tablet Pro,Electronics,North,400,25,0.22,312,0.05,2025-03-05,Enterprise,John Smith,4.6,1,2,Credit Card,Online
Tablet Mini,Electronics,West,320,30,0.19,259,0.15,2025-03-12,Consumer,Emma Wilson,4.1,4,5,PayPal,Online
Monitor 27,Electronics,West,300,12,0.18,246,0.00,2025-04-01,Enterprise,Sarah Lee,4.4,0,3,Wire Transfer,Retail
Monitor 32,Electronics,East,450,18,0.21,356,0.05,2025-04-08,Small Business,Mike Chen,4.8,1,4,Credit Card,Online
Keyboard Mech,Electronics,West,85,50,0.25,64,0.10,2025-05-15,Consumer,Emma Wilson,4.9,2,2,Credit Card,Online
Keyboard Basic,Electronics,South,35,80,0.15,30,0.20,2025-05-20,Consumer,John Smith,3.8,5,3,Debit Card,Retail
Mouse Wireless,Electronics,West,45,75,0.18,37,0.05,2025-06-01,Consumer,Sarah Lee,4.3,3,2,PayPal,Online
Mouse Gaming,Electronics,North,75,55,0.22,59,0.08,2025-06-10,Consumer,Mike Chen,4.7,1,2,Credit Card,Online
Printer Laser,Electronics,South,350,10,0.30,245,0.00,2025-07-05,Enterprise,Emma Wilson,4.2,0,5,Wire Transfer,Retail
Printer Inkjet,Electronics,East,120,25,0.25,90,0.15,2025-07-12,Small Business,John Smith,3.9,2,4,Credit Card,Online
Executive Desk,Furniture,South,800,7,0.35,520,0.00,2025-01-20,Enterprise,Sarah Lee,4.6,0,7,Wire Transfer,Retail
Standing Desk,Furniture,North,650,12,0.32,442,0.05,2025-02-25,Small Business,Mike Chen,4.8,1,6,Credit Card,Online
Office Chair,Furniture,South,300,30,0.40,180,0.10,2025-03-15,Consumer,Emma Wilson,4.4,3,5,PayPal,Online
